Timestamp,Edad,Departamento en el que vives actualmente,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP],Qué lenguaje servidor prefieres,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados)],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos],¿Cuál es tu ingreso mensual bruto en soles?,Grado de instrucción,Situación laboral,¿Qué frameworks de JavaScript conoces?,Sexo,¿Qué sistema operativo usas principalmente para desarrollo web?,¿A través de qué medios aprendes sobre desarrollo web?,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript],¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos],"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight]
2/25/2011 19:22:33,24 - 30 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,4 a 6 años,4 a 6 años,No conozco,4 a 6 años,No conozco,1 año o menos,1 a 3 años,No conozco,No conozco,No conozco,,Menos de 1500 soles,Maestría,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,4 a 6 años,,4 a 6 años,Sí,4 a 6 años,No conozco,No conozco
2/25/2011 19:22:42,17 - 23 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,No conozco,,No conozco,No conozco,No conozco,1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,,Menos de 1500 soles,En universidad o instituto,No trabajo,,Masculino,Windows,Documentación en la web,No conozco,No conozco,1 a 3 años,,No conozco,No,No conozco,No conozco,1 a 3 años
2/25/2011 19:45:56,17 - 23 años,Ica,Menos de 1 año,No conozco,No conozco,1 a 3 años,Menos de 1 año,,No conozco,Menos de 1 año,No conozco,1 a 3 años,1 año o menos,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI",Masculino,Linux,"Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",1 a 3 años,Menos de 1 año,1 a 3 años,,1 a 3 años,No,Menos de 1 año,No conozco,No conozco
2/25/2011 19:59:27,24 - 30 años,Lambayeque,Menos de 1 año,1 a 3 años,1 a 3 años,4 a 6 años,4 a 6 años,,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,Más de 6 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,,De 1501 a 2500,Graduado de universidad,Trabajo como independiente,"jQuery, Prototype",Masculino,Linux,Documentación en la web,4 a 6 años,1 a 3 años,1 a 3 años,,Más de 6 años,Sí,1 a 3 años,1 a 3 años,Menos de 1 año
2/25/2011 20:51:54,31 - 40 años,Cusco,4 a 6 años,Menos de 1 año,Menos de 1 año,4 a 6 años,4 a 6 años,,Menos de 1 año,4 a 6 años,Menos de 1 año,Más de 6 años,1 año o menos,1 año o menos,Más de 6 años,1 año o menos,1 año o menos,Más de 6 años,,Menos de 1500 soles,Maestría,Trabajo como dependiente e independiente,"jQuery, jQuery UI, YUI",Femenino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas",Menos de 1 año,Menos de 1 año,Más de 6 años,,Más de 6 años,Sí,Menos de 1 año,Menos de 1 año,Menos de 1 año
2/25/2011 21:19:52,41 - 50 años,Arequipa,1 a 3 años,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 a 3 años,No conozco,No conozco,1 año o menos,,De 3501 a 4500,Maestría,Trabajo como independiente,"jQuery, MooTools",Masculino,Windows,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas",Menos de 1 año,Menos de 1 año,1 a 3 años,,4 a 6 años,Sí,No conozco,No conozco,Menos de 1 año
2/25/2011 21:36:51,31 - 40 años,Lima,No conozco,1 a 3 años,No conozco,Menos de 1 año,Más de 6 años,,1 a 3 años,Menos de 1 año,No conozco,Más de 6 años,No conozco,1 año o menos,1 año o menos,1 año o menos,1 año o menos,1 año o menos,,De 2501 a 3500,Graduado de instituto,Trabajo como independiente,jQuery,Masculino,Linux,Documentación en la web,Menos de 1 año,No conozco,Más de 6 años,,Más de 6 años,No,4 a 6 años,No conozco,No conozco
2/25/2011 21:57:43,31 - 40 años,Callao,Menos de 1 año,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,1 año o menos,No conozco,1 año o menos,1 año o menos,No conozco,No conozco,,De 1501 a 2500,Graduado de instituto,Trabajo como independiente,jQuery,Masculino,Linux,"Seminarios web, Documentación en la web, Cursos en línea, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,1 a 3 años,,1 a 3 años,Sí,1 a 3 años,No conozco,No conozco
2/25/2011 22:15:49,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,1 año o menos,1 a 3 años,1 año o menos,No conozco,No conozco,1 año o menos,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente,"jQuery, jQuery UI",Masculino,Mac,"Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea",Menos de 1 año,No conozco,Menos de 1 año,,1 año o menos,No,Menos de 1 año,Menos de 1 año,No conozco
2/25/2011 22:35:18,17 - 23 años,Lima,No conozco,No conozco,No conozco,4 a 6 años,Menos de 1 año,,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,1 año o menos,4 a 6 años,No conozco,No conozco,No conozco,4 a 6 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, Prototype, script.aculo.us, YUI",Masculino,Linux,"Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores)",4 a 6 años,Menos de 1 año,Menos de 1 año,,1 a 3 años,Sí,Menos de 1 año,No conozco,No conozco
2/26/2011 0:23:51,17 - 23 años,Junín,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,1 a 3 años,1 a 3 años,4 a 6 años,4 a 6 años,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools, Prototype",Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores)",Menos de 1 año,No conozco,Menos de 1 año,,Más de 6 años,No,Menos de 1 año,No conozco,No conozco
2/26/2011 0:46:36,17 - 23 años,Arequipa,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,1 año o menos,No conozco,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,jQuery,Masculino,Linux,"Documentación en la web, En la universidad o instituto, Cursos en línea",1 a 3 años,No conozco,1 a 3 años,,1 a 3 años,Sí,Menos de 1 año,Menos de 1 año,No conozco
2/26/2011 0:49:03,24 - 30 años,Arequipa,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,4 a 6 años,,4 a 6 años,4 a 6 años,No conozco,4 a 6 años,1 año o menos,1 a 3 años,1 año o menos,1 año o menos,1 año o menos,1 a 3 años,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools, Prototype, RADAFrameWork",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Investigando Internet",4 a 6 años,No conozco,4 a 6 años,,4 a 6 años,Sí,Menos de 1 año,No conozco,No conozco
2/26/2011 1:01:25,31 - 40 años,Callao,1 a 3 años,4 a 6 años,No conozco,1 a 3 años,4 a 6 años,,4 a 6 años,4 a 6 años,1 a 3 años,4 a 6 años,No conozco,4 a 6 años,No conozco,No conozco,No conozco,1 a 3 años,,De 5501 a 6500,Graduado de instituto,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI, Ext JS",Masculino,Linux,"Documentación en la web, En grupos de amigos o compañeros de trabajo, Siguiendo recomendaciones de W3C",1 a 3 años,No conozco,4 a 6 años,,Más de 6 años,Sí,1 a 3 años,1 a 3 años,Menos de 1 año
2/26/2011 1:52:51,24 - 30 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,De 5501 a 6500,En universidad o instituto,Trabajo como dependiente e independiente,jQuery,Masculino,Linux,"Seminarios web, Documentación en la web, libros",Menos de 1 año,No conozco,Menos de 1 año,,4 a 6 años,Sí,No conozco,No conozco,No conozco
2/26/2011 2:08:49,24 - 30 años,Callao,1 a 3 años,1 a 3 años,No conozco,Más de 6 años,Más de 6 años,,1 a 3 años,4 a 6 años,No conozco,Más de 6 años,No conozco,1 año o menos,Más de 6 años,1 a 3 años,No conozco,No conozco,,Más de 10500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, YUI",Masculino,Mac,"Documentación en la web, En grupos de amigos o compañeros de trabajo",Más de 6 años,No conozco,Más de 6 años,,Más de 6 años,Sí,Más de 6 años,Menos de 1 año,Menos de 1 año
2/26/2011 4:07:08,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,No conozco,4 a 6 años,,1 a 3 años,1 a 3 años,4 a 6 años,4 a 6 años,4 a 6 años,1 a 3 años,No conozco,No conozco,No conozco,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,,Masculino,Linux,Documentación en la web,No conozco,No conozco,4 a 6 años,,4 a 6 años,Sí,Menos de 1 año,No conozco,No conozco
2/26/2011 8:23:53,24 - 30 años,Amazonas,No conozco,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Graduado de instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, Prototype",Masculino,Linux,"Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea",No conozco,No conozco,No conozco,,1 a 3 años,Sí,Menos de 1 año,No conozco,No conozco
2/26/2011 9:14:36,31 - 40 años,Lima,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,,No conozco,1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,1 año o menos,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,,Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas",No conozco,No conozco,No conozco,,4 a 6 años,Sí,No conozco,No conozco,No conozco
2/26/2011 9:26:26,24 - 30 años,Cusco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,,Menos de 1 año,Menos de 1 año,Más de 6 años,Más de 6 años,Más de 6 años,No conozco,Más de 6 años,No conozco,No conozco,No conozco,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente e independiente,,Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,Menos de 1 año,,Más de 6 años,Sí,No conozco,No conozco,Menos de 1 año
2/26/2011 10:18:36,24 - 30 años,Piura,4 a 6 años,No conozco,Menos de 1 año,1 a 3 años,Más de 6 años,,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI, MooTools, Prototype, script.aculo.us",Masculino,Windows,Documentación en la web,Menos de 1 año,No conozco,Más de 6 años,,Más de 6 años,Sí,Menos de 1 año,No conozco,Menos de 1 año
2/26/2011 10:22:21,24 - 30 años,Lima,1 a 3 años,No conozco,No conozco,Menos de 1 año,4 a 6 años,,Menos de 1 año,4 a 6 años,Menos de 1 año,4 a 6 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,No conozco,No conozco,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools",Masculino,Linux,"Seminarios web, Documentación en la web",Menos de 1 año,No conozco,4 a 6 años,,4 a 6 años,Sí,No conozco,No conozco,No conozco
2/26/2011 10:37:02,17 - 23 años,Amazonas,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente,"jQuery, MooTools",Masculino,Linux,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,Menos de 1 año,,1 año o menos,Sí,No conozco,No conozco,No conozco
2/26/2011 10:56:59,24 - 30 años,Callao,4 a 6 años,Menos de 1 año,No conozco,4 a 6 años,Menos de 1 año,,4 a 6 años,Más de 6 años,1 a 3 años,Más de 6 años,4 a 6 años,1 año o menos,1 a 3 años,No conozco,No conozco,1 a 3 años,,De 4501 a 5500,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI, MooTools",Masculino,Mac,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",1 a 3 años,No conozco,4 a 6 años,,4 a 6 años,Sí,1 a 3 años,4 a 6 años,Menos de 1 año
2/26/2011 10:59:18,31 - 40 años,Lima,No conozco,No conozco,No conozco,4 a 6 años,4 a 6 años,,Menos de 1 año,1 a 3 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,1 año o menos,No conozco,1 a 3 años,Más de 6 años,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente e independiente,jQuery,Masculino,Windows,"Seminarios web, Documentación en la web, Cursos en línea",Menos de 1 año,No conozco,4 a 6 años,,Más de 6 años,No,No conozco,Menos de 1 año,No conozco
2/26/2011 11:04:09,17 - 23 años,La Libertad,No conozco,No conozco,No conozco,Menos de 1 año,4 a 6 años,,4 a 6 años,4 a 6 años,Menos de 1 año,4 a 6 años,1 a 3 años,1 a 3 años,4 a 6 años,1 año o menos,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente,"jQuery, jQuery UI, MooTools, Prototype",Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), En grupos de amigos o compañeros de trabajo",No conozco,No conozco,4 a 6 años,,Más de 6 años,Sí,No conozco,Menos de 1 año,No conozco
2/26/2011 11:08:59,31 - 40 años,Ucayali,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,No conozco,No conozco,No conozco,,Menos de 1500 soles,Graduado de instituto,Trabajo como independiente,jQuery,Masculino,Windows,Cursos en línea,No conozco,No conozco,No conozco,,1 a 3 años,Sí,Menos de 1 año,No conozco,No conozco
2/26/2011 11:10:32,24 - 30 años,Lima,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,,No conozco,1 a 3 años,No conozco,1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,,De 1501 a 2500,Escolar,Trabajo como dependiente e independiente,jQuery,Masculino,Linux,"Documentación en la web, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,Menos de 1 año,,1 año o menos,Sí,Menos de 1 año,No conozco,No conozco
2/26/2011 11:12:48,31 - 40 años,Lima,No conozco,1 a 3 años,No conozco,No conozco,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,4 a 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,,De 1501 a 2500,Maestría,Trabajo como independiente,jQuery,Masculino,Mac,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",No conozco,No conozco,1 a 3 años,,Más de 6 años,Sí,No conozco,1 a 3 años,No conozco
2/26/2011 11:19:18,24 - 30 años,Arequipa,1 a 3 años,No conozco,No conozco,1 a 3 años,1 a 3 años,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,1 año o menos,1 a 3 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,Maestría,Trabajo como dependiente,jQuery,Masculino,Windows,"En la universidad o instituto, trabajo",No conozco,No conozco,Menos de 1 año,,4 a 6 años,No,No conozco,No conozco,Menos de 1 año
2/26/2011 11:26:48,31 - 40 años,Lima,No conozco,Menos de 1 año,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,Menos de 1 año,Menos de 1 año,4 a 6 años,4 a 6 años,1 a 3 años,1 año o menos,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI, MooTools, Prototype",Femenino,Windows,"Seminarios web, Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,4 a 6 años,,Más de 6 años,Sí,No conozco,No conozco,No conozco
2/26/2011 11:28:59,24 - 30 años,Lambayeque,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,1 año o menos,1 a 3 años,1 a 3 años,No conozco,1 año o menos,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools, Prototype",Masculino,Linux,"Documentación en la web, Cursos en línea",Menos de 1 año,No conozco,1 a 3 años,,4 a 6 años,Sí,Menos de 1 año,No conozco,No conozco
2/26/2011 11:50:26,17 - 23 años,Lima,No conozco,Menos de 1 año,No conozco,No conozco,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, MooTools, Prototype, YUI, node.js",Masculino,Linux,Documentación en la web,No conozco,No conozco,1 a 3 años,,1 a 3 años,Sí,1 a 3 años,1 a 3 años,No conozco
2/26/2011 11:54:59,41 - 50 años,Lima,No conozco,No conozco,No conozco,No conozco,4 a 6 años,,4 a 6 años,Más de 6 años,No conozco,Más de 6 años,4 a 6 años,1 año o menos,4 a 6 años,1 a 3 años,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,"jQuery, jQuery UI, YUI",Masculino,Windows,"Documentación en la web, En grupos de amigos o compañeros de trabajo",Más de 6 años,No conozco,Más de 6 años,,Más de 6 años,Sí,No conozco,Menos de 1 año,No conozco
2/26/2011 12:24:00,31 - 40 años,Lima,1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,4 a 6 años,,4 a 6 años,1 a 3 años,Menos de 1 año,Más de 6 años,1 a 3 años,1 año o menos,1 año o menos,No conozco,No conozco,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, Prototype, script.aculo.us",Masculino,Linux,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,No conozco
2/26/2011 12:35:22,24 - 30 años,Puno,1 a 3 años,Menos de 1 año,No conozco,1 a 3 años,4 a 6 años,,4 a 6 años,4 a 6 años,Menos de 1 año,Más de 6 años,Más de 6 años,1 año o menos,4 a 6 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, Prototype, script.aculo.us",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",1 a 3 años,No conozco,4 a 6 años,,Más de 6 años,Sí,No conozco,No conozco,No conozco
2/26/2011 13:06:00,31 - 40 años,Lima,Menos de 1 año,1 a 3 años,No conozco,No conozco,Más de 6 años,,Más de 6 años,Más de 6 años,Menos de 1 año,Más de 6 años,No conozco,1 año o menos,No conozco,No conozco,No conozco,No conozco,,De 1501 a 2500,Maestría,Trabajo como independiente,"jQuery, jQuery UI",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas",No conozco,No conozco,Más de 6 años,,Más de 6 años,Sí,Menos de 1 año,No conozco,No conozco
2/26/2011 13:28:04,17 - 23 años,Lima,4 a 6 años,Menos de 1 año,No conozco,Menos de 1 año,4 a 6 años,,Menos de 1 año,4 a 6 años,1 a 3 años,4 a 6 años,4 a 6 años,1 a 3 años,4 a 6 años,1 año o menos,No conozco,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, Prototype",Masculino,Windows,"Documentación en la web, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,No conozco,,Más de 6 años,Sí,Menos de 1 año,Menos de 1 año,1 a 3 años
2/26/2011 13:36:16,24 - 30 años,Lambayeque,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,,No conozco,No conozco,Menos de 1 año,1 a 3 años,1 año o menos,No conozco,No conozco,No conozco,1 año o menos,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,none,Masculino,Linux,En grupos de amigos o compañeros de trabajo,No conozco,No conozco,No conozco,,1 a 3 años,Sí,No conozco,No conozco,No conozco
2/26/2011 14:15:33,31 - 40 años,Puno,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,,1 a 3 años,Más de 6 años,Más de 6 años,Más de 6 años,4 a 6 años,4 a 6 años,4 a 6 años,No conozco,No conozco,4 a 6 años,,De 2501 a 3500,Maestría,Trabajo como dependiente,"jQuery, jQuery UI",Masculino,Linux,Cursos en línea,Más de 6 años,Más de 6 años,Más de 6 años,,Más de 6 años,No,No conozco,No conozco,1 a 3 años
2/26/2011 14:28:13,24 - 30 años,Lima,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,Más de 6 años,,1 a 3 años,1 a 3 años,Menos de 1 año,Más de 6 años,Más de 6 años,1 año o menos,No conozco,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,Graduado de instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores)",Menos de 1 año,No conozco,Más de 6 años,,1 año o menos,Sí,Menos de 1 año,Menos de 1 año,No conozco
2/26/2011 16:11:21,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,4 a 6 años,Menos de 1 año,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,Más de 6 años,1 a 3 años,No conozco,1 año o menos,1 año o menos,,De 3501 a 4500,Graduado de universidad,Trabajo como dependiente,"dojo, jQuery, jQuery UI, Prototype, script.aculo.us",Femenino,Windows,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,1 a 3 años,,Más de 6 años,No,No conozco,No conozco,No conozco
2/26/2011 17:03:39,24 - 30 años,Cusco,No conozco,No conozco,No conozco,1 a 3 años,4 a 6 años,,4 a 6 años,4 a 6 años,No conozco,4 a 6 años,No conozco,No conozco,1 a 3 años,4 a 6 años,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI, YUI",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",1 a 3 años,No conozco,4 a 6 años,,Más de 6 años,Sí,No conozco,No conozco,No conozco
2/26/2011 18:47:27,17 - 23 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,No conozco,Menos de 1 año,No conozco,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,No conozco,1 a 3 años,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,,Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,No conozco,,1 a 3 años,No,1 a 3 años,No conozco,No conozco
2/26/2011 18:51:00,24 - 30 años,Puno,Menos de 1 año,No conozco,No conozco,Menos de 1 año,4 a 6 años,,Menos de 1 año,4 a 6 años,Menos de 1 año,4 a 6 años,1 a 3 años,1 año o menos,1 año o menos,No conozco,No conozco,No conozco,,Menos de 1500 soles,Maestría,Trabajo como dependiente e independiente,jQuery,Masculino,Windows,"Documentación en la web, Cursos en línea",Menos de 1 año,No conozco,4 a 6 años,,4 a 6 años,Sí,No conozco,No conozco,No conozco
2/26/2011 19:19:44,17 - 23 años,Lima,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,4 a 6 años,No conozco,1 año o menos,No conozco,No conozco,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,"jQuery, MooTools, Prototype",Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea",No conozco,No conozco,Menos de 1 año,,4 a 6 años,Sí,No conozco,No conozco,No conozco
