"Marca temporal","¿En qué región vives actualmente?","¿Qué edad tienes?","¿Cuál es tu sexo?","¿Cuál es tu grado de instrucción?","¿Cuántos años de experiencia tienes en Desarrollo Web?","¿Cuál es tu situación laboral actual como desarrollador web? ","¿Estás en planilla?","¿Emites recibos por honorarios u otro comprobante de pago?","¿Estás en planilla?","¿Emites recibos por honorarios u otro comprobante de pago?","En tu trabajo actual ¿Tu función principal es desarrollo web?","¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?","Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:","Tu función principal en el desarrollo web es:","¿Qué sistema operativo usas principalmente como entorno de desarrollo?","¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?","¿Cuantos años de experiencia tienes con...? [.NET]","¿Cuantos años de experiencia tienes con...? [Go]","¿Cuantos años de experiencia tienes con...? [Java]","¿Cuantos años de experiencia tienes con...? [Node.js]","¿Cuantos años de experiencia tienes con...? [PHP]","¿Cuantos años de experiencia tienes con...? [Python]","¿Cuantos años de experiencia tienes con...? [Ruby]","¿Cuantos años de experiencia tienes con...? [Rust]","¿Qué frameworks backend cononces?","¿Qué frameworks backend utilizas?","¿Qué frameworks de JavaScript conoces?","¿Qué frameworks de JavaScript utilizas?","¿Con qué pre/post procesadores has trabajado?","¿Con qué herramientas de automatizacion has trabajado?","¿Con qué bases de datos relacionales has trabajado?","¿Con qué bases de datos no relacionales has trabajado?","¿Con qué plataformas Cloud has trabajado?","¿A través de qué medios aprendes sobre desarrollo web?","¿Para qué sistemas operativos móviles has desarrollado aplicaciones?","Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?"
"2019/01/22 11:16:15 a. m. GMT-5","Callao","17 - 23 años","Mujer","Estudiante de universidad","Menos de 1 año","No trabajo actualmente","","","","","","","Es igual","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Canvas","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","","","jQuery","jQuery","Stylus","","","","","laboratoria","",""
"2019/01/22 11:16:55 a. m. GMT-5","Lima","17 - 23 años","Mujer","Graduado de universidad","Menos de 1 año","No trabajo actualmente","","","","","","","Es igual","Frontend","Microsoft Windows","Consola;Depurador de JavaScript / Debugger","No conozco","No conozco","No conozco","Menos de 1 año","No conozco","No conozco","No conozco","No conozco","","","","","","","","","","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo","",""
"2019/01/22 12:23:01 p. m. GMT-5","Lima","17 - 23 años","Mujer","Graduado de instituto","Menos de 1 año","No trabajo actualmente","","","","","","","Es igual","Frontend","Microsoft Windows","Consola;Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources;Canvas","Menos de 1 año","No conozco","Menos de 1 año","Menos de 1 año","Menos de 1 año","No conozco","No conozco","No conozco","Express (Node.js)","","","","","","MySQL;Microsoft SQL Server;Oracle Database","","Una nube privada (implementación a medida)","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En la universidad o instituto","Android",""
"2019/01/22 1:25:57 p. m. GMT-5","Lima","31 - 40 años","Mujer","Maestría","Menos de 1 año","No trabajo actualmente","","","","","","","Es igual","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Canvas","No conozco","No conozco","No conozco","Menos de 1 año","Menos de 1 año","No conozco","No conozco","No conozco","Laravel (PHP);Symfony (PHP)","","jQuery;AngularJS;React;Vue.js","","","","MySQL;PostgreSQL","","","Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo;Seminarios Web / Webinars","",""
"2019/01/22 2:33:19 p. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de universidad","De 4 a 6 años","Trabajo como dependiente","","","Sí","","Sí","De 5501 a más","Ha aumentado","Frontend","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","No conozco","Menos de 1 año","Menos de 1 año","De 4 a 6 años","De 1 a 3 años","De 1 a 3 años","Menos de 1 año","No conozco","Django (Python);Flask (Python);Express (Node.js)","Django (Python);Flask (Python);Express (Node.js)","AngularJS;React;Vue.js;Flutter","AngularJS;React;Vue.js;Flutter","SASS;LESS;Stylus;Pug;CoffeeScript;PostCSS","Gulp;WebPack","PostgreSQL","MongoDB","Amazon Web Services;Google Cloud Platform","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Comunidades locales de desarrollo","Flutter","Ionic Framework;Reac Native"
"2019/01/22 2:39:27 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como dependiente","","","No","","Sí","Menos de 1500 soles","Es igual","Fullstack","GNU/Linux","Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage","No conozco","Menos de 1 año","Más de 6 años","Más de 6 años","No conozco","De 1 a 3 años","No conozco","No conozco","Flask (Python);Express (Node.js)","Express (Node.js)","jQuery;AngularJS;React;Vue.js","React;Vue.js;Ionic","SASS;Pug","Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB;Redis","Amazon Web Services;Google Cloud Platform","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas","Android;Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework;Progressive Web Apps"
"2019/01/22 2:49:42 p. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de universidad","Mayor a 10 años","Trabajo como dependiente e independiente","Sí","Sí","","","No","De 5501 a más","Es igual","Fullstack","Mac","Inspector / Elements / DOM Explorer;Accesibilidad","Menos de 1 año","De 1 a 3 años","De 4 a 6 años","De 1 a 3 años","Más de 6 años","Más de 6 años","De 1 a 3 años","Menos de 1 año","Laravel (PHP);Django (Python);Ruby on Rails;Symfony (PHP);Spring Boot (Java);Flask (Python);Bottle (Python);Express (Node.js);Hapi (Node.js)","Laravel (PHP);Django (Python);Ruby on Rails;Express (Node.js)","jQuery;jQuery UI;AngularJS;Backbone.js;React;Ember.js;Vue.js;Sencha","AngularJS;React;Vue.js","SASS","Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB;Redis","Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform;Microsoft Azure","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Seminarios Web / Webinars","Webapps móviles (híbridas para cualquier plataforma);iOS;Crossplatform  ","Ionic Framework;Reac Native;Progressive Web Apps"
"2019/01/22 2:58:44 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 4 a 6 años","Trabajo como dependiente","","","Sí","","Sí","De 4501 a 5500 soles","Ha aumentado","Fullstack","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","Menos de 1 año","No conozco","De 1 a 3 años","De 1 a 3 años","De 4 a 6 años","De 4 a 6 años","No conozco","No conozco","Laravel (PHP);Django (Python);Symfony (PHP);Flask (Python)","Laravel (PHP)","jQuery;React;D3.js;Vue.js","jQuery;React;Vue.js","SASS","Gulp;WebPack","MySQL","MongoDB;Redis","Amazon Web Services;Microsoft Azure","Documentación en la web;Cursos en línea de plataformas de pago","Android",""
"2019/01/22 3:26:53 p. m. GMT-5","Lima","24 - 30 años","Mujer","Graduado de universidad","Menos de 1 año","No trabajo actualmente","","","","","","","Es igual","Frontend","Microsoft Windows","Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","","","jQuery;AngularJS;React;Ember.js;Vue.js","","","","","","","Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars","Webapps móviles (híbridas para cualquier plataforma)",""
"2019/01/22 3:59:59 p. m. GMT-5","Lima","17 - 23 años","Mujer","Escolar","Menos de 1 año","No trabajo actualmente","","","","","","","Es igual","Frontend","Microsoft Windows","Consola;Depurador de JavaScript / Debugger","No conozco","No conozco","No conozco","Menos de 1 año","No conozco","No conozco","No conozco","No conozco","","","","","","","","","","Documentación en la web;Comunidades locales de desarrollo","",""
"2019/01/22 6:23:05 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 4 a 6 años","Trabajo como dependiente e independiente","No","Sí","","","Sí","De 5501 a más","Ha aumentado","Fullstack","Microsoft Windows","Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory;Canvas;Audio web;Accesibilidad","Más de 6 años","No conozco","De 1 a 3 años","Menos de 1 año","De 1 a 3 años","Menos de 1 año","Menos de 1 año","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Spring Boot (Java);Express (Node.js)","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Spring Boot (Java)","jQuery;jQuery UI;AngularJS;React","jQuery;jQuery UI;AngularJS;React","SASS","","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database","MongoDB","Una nube privada (implementación a medida);Microsoft Azure","Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Comunidades locales de desarrollo;Seminarios Web / Webinars;Youtube","Android;iOS",""
"2019/01/22 11:44:52 p. m. GMT-5","La Libertad","31 - 40 años","Hombre","Maestría","Mayor a 10 años","Trabajo como independiente","","","","Sí","Sí","De 5501 a más","Ha aumentado","Fullstack","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","De 1 a 3 años","No conozco","Más de 6 años","De 1 a 3 años","Más de 6 años","Más de 6 años","Más de 6 años","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Express (Node.js)","CodeIgniter (PHP);Django (Python);Ruby on Rails;Express (Node.js)","jQuery;jQuery UI;React","jQuery;jQuery UI;React","SASS;LESS","","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB;firebase","Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform;Microsoft Azure","Documentación en la web","Android;Webapps móviles (híbridas para cualquier plataforma);iOS;Blackberry, windows ","Ionic Framework;Apache Cordova;Phonegap;Reac Native"
"2019/01/23 11:50:58 a. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de instituto","De 4 a 6 años","Trabajo como dependiente e independiente","Sí","No","","","Sí","De 2501 a 3500 soles","Ha aumentado","Frontend","GNU/Linux","Inspector / Elements / DOM Explorer;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory","No conozco","No conozco","Menos de 1 año","No conozco","Menos de 1 año","No conozco","No conozco","No conozco","CodeIgniter (PHP)","CodeIgniter (PHP)","jQuery","jQuery","SASS;LESS","","MySQL;Microsoft SQL Server;PostgreSQL","","Amazon Web Services;Una nube privada (implementación a medida);Microsoft Azure;Digital ocean","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas;Seminarios Web / Webinars","",""
"2019/01/23 12:04:17 p. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de instituto","De 1 a 3 años","No trabajo actualmente","","","","","","","Ha disminuido","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","Ruby on Rails","Ruby on Rails","jQuery;Vue.js","jQuery","SASS;Stylus;Pug","Gulp","Microsoft SQL Server","","","","",""
"2019/01/23 1:27:01 p. m. GMT-5","Callao","24 - 30 años","Mujer","Graduado de instituto","Menos de 1 año","No trabajo actualmente","","","","","","","Ha disminuido","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources","No conozco","No conozco","No conozco","Menos de 1 año","No conozco","No conozco","No conozco","No conozco","","","","","","","","","","","",""
"2019/01/23 2:24:38 p. m. GMT-5","Lima","17 - 23 años","Mujer","Estudiantes de instituto","Menos de 1 año","No trabajo actualmente","","","","","","","Es igual","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Depurador de JavaScript / Debugger","No conozco","No conozco","Menos de 1 año","No conozco","No conozco","No conozco","No conozco","No conozco","Play Framework (Java)","","","","","","","","","","",""
"2019/01/23 4:25:16 p. m. GMT-5","Lima","31 - 40 años","Hombre","Maestría","De 4 a 6 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 4501 a 5500 soles","Ha aumentado","Fullstack","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Editor de estilos / Sources / Resources;Inspector de memoria / Profiles / Memory;Canvas;Borrador","No conozco","No conozco","No conozco","De 1 a 3 años","De 4 a 6 años","De 4 a 6 años","De 1 a 3 años","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Flask (Python);Express (Node.js)","Laravel (PHP);Django (Python);Ruby on Rails;Flask (Python);Express (Node.js)","jQuery;jQuery UI;AngularJS;Vue.js","jQuery;AngularJS;Vue.js","SASS;Stylus;CoffeeScript","Gulp","MySQL;PostgreSQL","MongoDB;Redis;Apache Cassandra;CouchDB","Amazon Web Services;Una nube privada (implementación a medida);Heroku, pivota","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Seminarios Web / Webinars","Android;Webapps móviles (híbridas para cualquier plataforma);iOS","Ionic Framework;Apache Cordova;Phonegap"
"2019/01/23 4:38:46 p. m. GMT-5","Junín","31 - 40 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como independiente","","","","Sí","Sí","Menos de 1500 soles","Es igual","Fullstack","GNU/Linux","Inspector / Elements / DOM Explorer;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","No conozco","Menos de 1 año","Menos de 1 año","Menos de 1 año","Menos de 1 año","De 1 a 3 años","Menos de 1 año","Menos de 1 año","Laravel (PHP);Django (Python);Symfony (PHP)","Django (Python)","jQuery;AngularJS;React","jQuery","SASS","","PostgreSQL","","Amazon Web Services;Google Cloud Platform","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago","",""
"2019/01/23 5:27:43 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 4 a 6 años","Trabajo como independiente","","","","No","No","De 5501 a más","Es igual","Frontend","Mac","Inspector / Elements / DOM Explorer;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","No conozco","No conozco","Menos de 1 año","No conozco","De 1 a 3 años","Menos de 1 año","No conozco","No conozco","Ruby on Rails","Symfony (PHP)","jQuery;jQuery UI;React","jQuery;React","SASS;LESS;Stylus;CoffeeScript","Gulp","MySQL","MongoDB","Amazon Web Services","Documentación en la web;Cursos en línea de plataformas de pago","Android;iOS","Reac Native"
"2019/01/23 9:12:31 p. m. GMT-5","Lima","17 - 23 años","Hombre","Escolar","Menos de 1 año","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 1501 a 2500 soles","Ha aumentado","Frontend","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Editor de sombreadores","No conozco","No conozco","No conozco","Menos de 1 año","No conozco","Menos de 1 año","No conozco","No conozco","Django (Python);Express (Node.js)","","jQuery;React;Vue.js","React","SASS","WebPack","PostgreSQL","MongoDB;Redis","Google Cloud Platform","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo","Android;Webapps móviles (híbridas para cualquier plataforma)","Reac Native"
"2019/01/23 10:25:36 p. m. GMT-5","Lima","31 - 40 años","Hombre","Estudiante de universidad","Mayor a 10 años","Trabajo como dependiente","","","Sí","","Sí","De 5501 a más","Es igual","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory;Canvas;Audio web;Accesibilidad","Menos de 1 año","De 1 a 3 años","No conozco","De 1 a 3 años","Más de 6 años","De 1 a 3 años","De 1 a 3 años","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Play Framework (Java);Spring Boot (Java);Flask (Python);Sinatra (Ruby);Webpy (Python);Bottle (Python);Cuba (Ruby);Express (Node.js);Hapi (Node.js);Phoenixframework (Erlang)","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Flask (Python);Sinatra (Ruby);Webpy (Python);Express (Node.js);Hapi (Node.js)","jQuery;jQuery UI;React;Dojo;Zepto.js;Vue.js;Sencha","jQuery;jQuery UI;React;Dojo;Zepto.js;Vue.js;Sencha","SASS;LESS;Stylus;Pug;CoffeeScript;PostCSS","Grunt;Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database","MongoDB;Redis","Amazon Web Services;Google Cloud Platform;Microsoft Azure;IBM Cloud;DigitalOcean","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars;Cursos piratas en Mega (no miento) sorry :(","Android;Webapps móviles (híbridas para cualquier plataforma);iOS","Reac Native;NativeScript;Progressive Web Apps"
"2019/01/24 2:42:46 p. m. GMT-5","Lima","41 - 50 años","Hombre","Maestría","De 6 a 10 años","Trabajo como dependiente","","","Sí","","No","De 5501 a más","Ha aumentado","Backend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola","Más de 6 años","No conozco","De 1 a 3 años","Menos de 1 año","No conozco","No conozco","No conozco","No conozco","","","jQuery","jQuery","","Grunt","Microsoft SQL Server","MongoDB;Cosmos DB","Amazon Web Services;Microsoft Azure","Documentación en la web;Comunidades locales de desarrollo","",""
"2019/01/24 6:40:59 p. m. GMT-5","Lima","31 - 40 años","Hombre","Estudiante de universidad","De 4 a 6 años","Trabajo como dependiente","","","Sí","","Sí","De 4501 a 5500 soles","Es igual","Backend","GNU/Linux","Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Inspector de memoria / Profiles / Memory;Audio web","Menos de 1 año","De 1 a 3 años","De 1 a 3 años","Más de 6 años","De 4 a 6 años","De 1 a 3 años","De 4 a 6 años","De 4 a 6 años","Laravel (PHP);CodeIgniter (PHP);Symfony (PHP);Play Framework (Java);Flask (Python);Sinatra (Ruby);Webpy (Python);Cuba (Ruby);Hapi (Node.js)","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Symfony (PHP);Flask (Python);Bottle (Python);Cuba (Ruby)","jQuery;jQuery UI;AngularJS;Backbone.js;React;Zepto.js;Vue.js;Sencha;Kendo","jQuery;jQuery UI;AngularJS;Backbone.js;D3.js;Dojo;Vue.js","SASS;LESS;Stylus;Pug;CoffeeScript;PostCSS","Grunt;Gulp;Brocoli","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database","MongoDB;Apache Cassandra","Amazon Web Services;Google Cloud Platform;Microsoft Azure;IBM Cloud","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars","Android;Webapps móviles (híbridas para cualquier plataforma);iOS","Ionic Framework;Apache Cordova;Phonegap;NativeScript;Progressive Web Apps"
"2019/01/25 3:22:13 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 6 a 10 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 5501 a más","Ha aumentado","Fullstack","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage;Editor de sombreadores;Borrador","Más de 6 años","No conozco","Menos de 1 año","De 1 a 3 años","No conozco","Menos de 1 año","Menos de 1 año","No conozco","Ruby on Rails;Spring Boot (Java);Express (Node.js)","Express (Node.js);.NET","jQuery;jQuery UI;AngularJS;React;Kendo","jQuery;AngularJS;React","SASS;LESS;CoffeeScript;PostCSS","Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB;Redis","Microsoft Azure","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Comunidades locales de desarrollo;Seminarios Web / Webinars","Webapps móviles (híbridas para cualquier plataforma)","Apache Cordova"
"2019/01/25 3:24:59 p. m. GMT-5","Junín","24 - 30 años","Hombre","Maestría","Mayor a 10 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","Menos de 1500 soles","Ha aumentado","Fullstack","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory","De 1 a 3 años","No conozco","De 1 a 3 años","De 4 a 6 años","De 4 a 6 años","No conozco","No conozco","No conozco","CodeIgniter (PHP);Express (Node.js)","Express (Node.js);Desarrollo propio","jQuery","Desarrollo propio","LESS","Gulp","MySQL;Microsoft SQL Server;PostgreSQL;MariaDB","MongoDB","Una nube privada (implementación a medida);Digital Ocean","Documentación en la web;Libros, revistas y otras publicaciones impresas;Ensayo, Prueba y Error","Webapps móviles (híbridas para cualquier plataforma)","Apache Cordova;Progressive Web Apps;Capacitor"
"2019/01/27 11:48:55 p. m. GMT-5","Lima","24 - 30 años","Mujer","Graduado de universidad","Menos de 1 año","Trabajo como dependiente","","","Sí","","Sí","De 1501 a 2500 soles","Ha aumentado","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources","No conozco","No conozco","No conozco","Menos de 1 año","No conozco","No conozco","No conozco","No conozco","","","jQuery;jQuery UI;AngularJS;React;D3.js;Vue.js","","SASS;Stylus;Pug","Gulp;WebPack","MySQL","MongoDB","","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars","",""
"2019/01/27 11:51:47 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como dependiente","","","No","","Sí","De 1501 a 2500 soles","Ha aumentado","Frontend","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Editor de sombreadores","Menos de 1 año","No conozco","No conozco","De 1 a 3 años","Menos de 1 año","No conozco","No conozco","No conozco","Laravel (PHP);Express (Node.js);SailsJS (Node.js)","Express (Node.js)","jQuery;jQuery UI","jQuery;jQuery UI","SASS","Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL","","","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo;Seminarios Web / Webinars","",""
"2019/01/28 12:09:15 a. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 4 a 6 años","Trabajo como dependiente","","","Sí","","Sí","De 4501 a 5500 soles","Ha aumentado","Backend","GNU/Linux","Inspector / Elements / DOM Explorer;Consola","No conozco","No conozco","Menos de 1 año","Menos de 1 año","De 1 a 3 años","De 1 a 3 años","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Flask (Python);Express (Node.js)","Laravel (PHP);Django (Python);Flask (Python)","jQuery;AngularJS;React;Vue.js","jQuery;Vue.js","SASS","Gulp","MySQL;PostgreSQL","MongoDB","Amazon Web Services;Google Cloud Platform","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas","Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework;Apache Cordova"
"2019/01/28 12:13:16 a. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de instituto","De 4 a 6 años","Trabajo como independiente","","","","Sí","Sí","De 2501 a 3500 soles","Es igual","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory;Editor de sombreadores;Canvas;Audio web;Borrador;Accesibilidad","No conozco","No conozco","No conozco","Menos de 1 año","De 4 a 6 años","No conozco","No conozco","No conozco","Laravel (PHP)","Laravel (PHP)","jQuery;jQuery UI;AngularJS;Vue.js","jQuery;jQuery UI","LESS","WebPack","MySQL","Redis","Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform","Documentación en la web;Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Seminarios Web / Webinars","Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework"
"2019/01/28 12:34:48 a. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 4 a 6 años","Trabajo como dependiente","","","Sí","","Sí","De 4501 a 5500 soles","Es igual","Fullstack","GNU/Linux","Consola;Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory","No conozco","Menos de 1 año","Menos de 1 año","Menos de 1 año","No conozco","De 4 a 6 años","No conozco","No conozco","Django (Python);Flask (Python);Express (Node.js)","Django (Python);Express (Node.js)","jQuery;jQuery UI;AngularJS;Backbone.js;React;Vue.js","jQuery;jQuery UI;AngularJS;Vue.js","SASS;Stylus;Pug","Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB;Redis","","Documentación en la web;Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;En la universidad o instituto","Android;iOS",""
