#,"Región en la que vives actualmente","¿Cuántos años de experiencia tienes en Desarrollo Web?","Grado de instrucción",Edad,Género,"Situación laboral","Si eres trabajador dependiente, ¿estás en planilla?","Si eres trabajador independiente, ¿emites recibos por honorarios u otro comprobante de pago?","En tu trabajo actual, ¿tu función principal es desarrollo web?","¿Cuál es tu ingreso mensual BRUTO (antes de descuentos) en soles?","Si comparas tu sueldo bruto actual respecto de tu sueldo de hace doce meses atrás, dirías que:","¿Qué sistema operativo usas principalmente para desarrollo web?",Other,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance","Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode","Inspector de memoria / Profiles / Memory",.NET,Go,Java,"node.js / io.js",PHP,Python,Ruby,"Play Framework (Java)","CodeIgniter (PHP)","Laravel (PHP)","Symfony2 (PHP)","Zend Framework (PHP)","Bottle (Python)","Django (Python)","Flask (Python)","webpy (Python)","Cuba (Ruby)","Ruby on Rails","Sinatra (Ruby)",AngularJS,backbone.js,D3.js,dojo,ember.js,jQuery,"jQuery UI",React,Zepto.js,Other,CoffeeScript,Jade,LESS,PostCSS,SASS,Stylus,Other,Broccoli,Grunt,Gulp,Other,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,Other,CouchDB,"Apache Cassandra",MongoDB,Redis,Other,"Amazon Web Services","Google Cloud Platform","Microsoft Azure","Una nube privada (implementación a medida)",Other,"En la universidad o instituto","Cursos de educación continua (fuera de los planes de estudio superiores)","Libros, revistas y otras publicaciones impresas","Documentación en la web","Seminarios web","Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo","Comunidades locales de desarrolladores",Other,Android,iOS,"Webapps móviles (web móvil o app para Android/iOS)",Other,"Si desarrollas web/apps móviles ¿Qué frameworks has utilizado para desarrollar web/apps móviles?",Other,"Start Date (UTC)","Submit Date (UTC)","Network ID"
c8ce2e13c3a346142f9987a08b5a76bc,Lima,"Uno a tres años","Estudiante en universidad","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",No,Si,1,"De 4501 a 5500","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger",,,,,"Menos de 1 año","No conozco","Menos de 1 año","Menos de 1 año","1 a 3 años","Menos de 1 año","Menos de 1 año",,"CodeIgniter (PHP)","Laravel (PHP)",,,,,,,,,,AngularJS,,D3.js,,,jQuery,"jQuery UI",React,,,,Jade,LESS,,,,,,,Gulp,,"Microsoft SQL Server","MySQL (y derivados)",,PostgreSQL,,,,MongoDB,,,,,,"Una nube privada (implementación a medida)",,,"Cursos de educación continua (fuera de los planes de estudio superiores)","Libros, revistas y otras publicaciones impresas","Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,"Comunidades locales de desarrolladores",,Android,,,,"React Native",,"2016-04-22 00:18:24","2016-04-22 00:23:51",5ffcc17363
949da3cf37fef1259909b028508c04cb,Lambayeque,"Cuatro a seis años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente",Si,No,1,"Menos de 1500 nuevos soles","Es igual",Windows,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance",,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode","Inspector de memoria / Profiles / Memory","Menos de 1 año","No conozco","1 a 3 años","No conozco","4 a 6 años","No conozco","No conozco",,,"Laravel (PHP)",,,,,,,,,,,,,,,jQuery,"jQuery UI",,,,,,,,,,ninguno,,,,ninguno,,"MySQL (y derivados)",,PostgreSQL,,,,,,ninguno,"Amazon Web Services","Google Cloud Platform",,"Una nube privada (implementación a medida)",,,,"Libros, revistas y otras publicaciones impresas","Documentación en la web","Seminarios web",,"Cursos en línea, en plataformas de pago",,,,Android,,,,,ninguno,"2016-04-22 00:39:12","2016-04-22 00:43:33",98b9aced8a
5ef9d3f6fe703c9dddbf934dc87c9102,Lima,"Más de seis años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente",Si,Si,1,"De 4501 a 5500","Ha aumentado",Windows,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger",,,,"Inspector de memoria / Profiles / Memory","4 a 6 años","No conozco","Más de 6 años","4 a 6 años","4 a 6 años","4 a 6 años","Menos de 1 año",,"CodeIgniter (PHP)","Laravel (PHP)",,,,,,,,,,AngularJS,,,,,,,,,,,Jade,LESS,,,Stylus,,,Grunt,Gulp,,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,mongo,,"Apache Cassandra",MongoDB,Redis,,"Amazon Web Services","Google Cloud Platform",,,,,,,"Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Android,,,,"Ionic Framework",,"2016-04-22 01:38:11","2016-04-22 01:42:47",6abdad7bcb
609cdb157ae5506313270676590723f9,Ancash,"Más de seis años",Escolar,"24 - 30 años",Masculino,"Trabajo como dependiente e independiente",No,Si,1,"De 5501 a más","Ha aumentado",Windows,,,Consola,,,,,,,"No conozco","No conozco","Menos de 1 año","No conozco","Más de 6 años","No conozco","No conozco",,,,,"Zend Framework (PHP)",,,,,,,,AngularJS,backbone.js,,,,jQuery,,,,,,,LESS,,,,,Broccoli,,,,,"MySQL (y derivados)",,,,,"Apache Cassandra",,,,,,,"Una nube privada (implementación a medida)",,,,,"Documentación en la web",,,"Cursos en línea, en plataformas de pago",,,,,,,no,,no,"2016-04-21 19:47:58","2016-04-22 03:07:37",6732c03f36
c29dd50ec914638bc06c199ff6dd6e3d,Lambayeque,"Más de seis años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",No,No,1,"De 1501 a 2500","Es igual",Linux,,,Consola,,,,,,,"No conozco","No conozco","1 a 3 años","No conozco","Más de 6 años","No conozco","No conozco",,"CodeIgniter (PHP)",,,,,,,,,,,,,,,,,"jQuery UI",,,,,,,,,,,,,,,,"MySQL (y derivados)",,PostgreSQL,,,,,Redis,,"Amazon Web Services",,,,,,,,"Documentación en la web",,,,,,,,,"Webapps móviles (web móvil o app para Android/iOS)",,,,"2016-04-22 03:20:16","2016-04-22 03:44:36",04e3952a12
97f68a67b8e5c5259d8ac88bbdba2b18,Lima,"Más de seis años","Graduado de instituto","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",Si,Si,1,"De 5501 a más","Ha aumentado",Mac,,,,,"Depurador de JavaScript / Debugger",,,,,"No conozco","No conozco","Más de 6 años","Menos de 1 año","No conozco","No conozco","No conozco","Play Framework (Java)",,,,,,,,,"Cuba (Ruby)",,,AngularJS,,,dojo,,jQuery,"jQuery UI",,,,CoffeeScript,,,,,Stylus,,,Grunt,,,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,,,,MongoDB,,,,"Google Cloud Platform",,,,,,,"Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Android,,"Webapps móviles (web móvil o app para Android/iOS)",,Cordova,,"2016-04-22 03:55:25","2016-04-22 04:03:06",83293b2ed8
acf6b94334b42ca5697f0b8dcc356b9e,Lima,"Más de seis años","Graduado de universidad","31 - 40 años",Masculino,"Trabajo como dependiente",Si,No,1,"De 1501 a 2500","Es igual",Windows,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger",,"Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Más de 6 años","No conozco","1 a 3 años","Menos de 1 año","Más de 6 años","No conozco","No conozco",,"CodeIgniter (PHP)","Laravel (PHP)",,,,,,,,,,AngularJS,,D3.js,,,jQuery,"jQuery UI",,Zepto.js,,,,,,SASS,,,,,Gulp,,"Microsoft SQL Server","MySQL (y derivados)",,PostgreSQL,,,,,,,,,"Microsoft Azure",,,"En la universidad o instituto",,,"Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,,,,,"Webapps móviles (web móvil o app para Android/iOS)",,,,"2016-04-22 05:01:13","2016-04-22 05:06:28",9a757b29e2
598fa46c3eaef5ce924d9fe84d36b364,Lambayeque,"Uno a tres años","Graduado de universidad","24 - 30 años",Masculino,"No trabajo actualmente",No,Si,1,"Menos de 1500 nuevos soles","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,,,"Rendimiento / Timeline / Performance",,,,"Menos de 1 año","No conozco","Menos de 1 año","No conozco","Más de 6 años","Menos de 1 año","No conozco",,,,,,,,,,,,,,,,,,jQuery,"jQuery UI",,,,,,,,,,geany,,,,,"Microsoft SQL Server","MySQL (y derivados)",,PostgreSQL,,,,,,,"Amazon Web Services",,,,,,,,"Documentación en la web",,,,,,,,,,,,,"2016-04-22 05:15:57","2016-04-22 05:20:16",8cd4a66fc3
08c4d1da6b21a64bf0899092d3a37207,"La Libertad","Más de seis años","Graduado de universidad","31 - 40 años",Masculino,"Trabajo como dependiente",Si,No,1,"De 3501 a 4500","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",,,,"Rendimiento / Timeline / Performance",,,,"1 a 3 años","Menos de 1 año","Más de 6 años","No conozco","No conozco","No conozco","No conozco","Play Framework (Java)",,,,,,,,,,,,,,,,,jQuery,,,,,,,,,,Stylus,,,Grunt,,,,,,PostgreSQL,,,,,,,,,,"Una nube privada (implementación a medida)",,,,,"Documentación en la web",,,,,,,,,,no,,ninguno,"2016-04-22 13:02:56","2016-04-22 13:13:41",72b49aee3e
f1d3a98361cb45ad3402cd04cb740e57,Callao,"Uno a tres años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente",Si,No,1,"De 1501 a 2500","Es igual",Windows,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources",,"Rendimiento / Timeline / Performance","Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"No conozco","No conozco","Menos de 1 año","Menos de 1 año","1 a 3 años","No conozco","No conozco",,"CodeIgniter (PHP)","Laravel (PHP)",,,,"Django (Python)",,,,,,AngularJS,,,,,jQuery,"jQuery UI",,,,,,LESS,,SASS,,,,,Gulp,,,"MySQL (y derivados)",,,,,,MongoDB,,,,"Google Cloud Platform",,,,,,,"Documentación en la web",,,"Cursos en línea, en plataformas de pago",,,,Android,,,,"Ionic Framework",,"2016-04-22 13:44:34","2016-04-22 13:49:16",072b35050d
70b0a88897c89f2ecaeac5fb671c3043,Lima,"Uno a tres años","Estudiante en universidad","17 - 23 años",Masculino,"Trabajo como dependiente e independiente",Si,No,0,"Menos de 1500 nuevos soles","Ha aumentado",Windows,,"Inspector / Elements / DOM Explorer",,,,,,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","No conozco","Menos de 1 año","No conozco","1 a 3 años","No conozco","Menos de 1 año",,,"Laravel (PHP)",,,,,,,,,,,backbone.js,,,,jQuery,,,,,,,,,,,,,,,,"Microsoft SQL Server","MySQL (y derivados)",,,,,,,,,,,,,,,,,"Documentación en la web","Seminarios web","Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,"Comunidades locales de desarrolladores",,Android,,,,,,"2016-04-22 14:14:32","2016-04-22 14:21:53",1546691e72
fcd664f9a56703b054c9fd3389112bd6,Lima,"Más de seis años","Estudiante en instituto","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",Si,Si,1,"De 2501 a 3500","Ha aumentado",Windows,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources",,,,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"No conozco","No conozco","1 a 3 años","Menos de 1 año","4 a 6 años","No conozco","No conozco",,,"Laravel (PHP)","Symfony2 (PHP)",,,,,,,,,,,,,,jQuery,"jQuery UI",,,,,Jade,LESS,,SASS,,,,,,,,"MySQL (y derivados)",,,MongoDB,,,MongoDB,,,"Amazon Web Services",,,"Una nube privada (implementación a medida)",,,"Cursos de educación continua (fuera de los planes de estudio superiores)","Libros, revistas y otras publicaciones impresas","Documentación en la web","Seminarios web","Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo","Comunidades locales de desarrolladores",,Android,iOS,"Webapps móviles (web móvil o app para Android/iOS)",,Phonegap,,"2016-04-22 14:26:02","2016-04-22 14:33:00",6ba8802f70
ace158f045f31ae16ac11589be91eff2,Callao,"Más de seis años","Graduado de instituto","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",Si,Si,1,"De 5501 a más","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance","Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode","Inspector de memoria / Profiles / Memory","1 a 3 años","Menos de 1 año","1 a 3 años","1 a 3 años","Más de 6 años","1 a 3 años","Menos de 1 año",,"CodeIgniter (PHP)","Laravel (PHP)","Symfony2 (PHP)",,,"Django (Python)",,,,"Ruby on Rails",,AngularJS,backbone.js,,,ember.js,jQuery,"jQuery UI",React,,"MEAN.io, Meteor.js, Sails.js, Ionic Framework",CoffeeScript,Jade,LESS,PostCSS,SASS,Stylus,"ES6, EJS, Swig",,Grunt,Gulp,Webpack,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,"SQLite, MS Access",,,MongoDB,Redis,,"Amazon Web Services",,"Microsoft Azure",,,,,,"Documentación en la web","Seminarios web",,"Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo","Comunidades locales de desarrolladores","Cursos Presenciales en Academias: Talentec, Area51.",Android,,"Webapps móviles (web móvil o app para Android/iOS)",,"Ionic Framework",,"2016-04-22 14:29:33","2016-04-22 14:43:48",5d61e63092
4b185a663b4d47b7b2a03e6cacb682f1,Lambayeque,"Uno a tres años","Graduado de universidad","24 - 30 años",Masculino,"No trabajo actualmente",No,Si,1,"Menos de 1500 nuevos soles","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,,,"Rendimiento / Timeline / Performance",,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","No conozco","Menos de 1 año","Menos de 1 año","1 a 3 años","Menos de 1 año","Menos de 1 año",,,"Laravel (PHP)",,,,,"Flask (Python)",,,,,,,,,,jQuery,,,,,,,,,SASS,,,,,,webpacket,"Microsoft SQL Server","MySQL (y derivados)",,PostgreSQL,,,,MongoDB,,,,,,,digitalocean,"En la universidad o instituto",,"Libros, revistas y otras publicaciones impresas","Documentación en la web","Seminarios web",,"Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo","Comunidades locales de desarrolladores",,,,,,,,"2016-04-22 15:14:39","2016-04-22 15:20:27",0c1eb8adb5
231ed736fa9845c1aced02366234adf4,Lima,"Uno a tres años","Graduado de instituto","24 - 30 años",Masculino,"Trabajo como dependiente",Si,Si,1,"De 2501 a 3500","Ha aumentado",Windows,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger",,,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","No conozco","Menos de 1 año","Menos de 1 año","Menos de 1 año","No conozco","Menos de 1 año",,"CodeIgniter (PHP)","Laravel (PHP)",,,,,,,,,,AngularJS,backbone.js,,,,jQuery,,,,,,Jade,,,SASS,Stylus,,,,Gulp,,"Microsoft SQL Server","MySQL (y derivados)",,,,,,,,,"Amazon Web Services",,,,,,,,"Documentación en la web",,,"Cursos en línea, en plataformas de pago",,,,Android,,,,Phonegap,,"2016-04-22 15:33:40","2016-04-22 15:37:32",4f6ef52af7
c97f75222bb54073219562f7c592997d,Lima,"Más de seis años","Graduado de instituto","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",No,Si,1,"De 5501 a más","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger",,"Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"1 a 3 años","No conozco","1 a 3 años","4 a 6 años","1 a 3 años","1 a 3 años","1 a 3 años",,,,,,,,"Flask (Python)",,,"Ruby on Rails",,AngularJS,backbone.js,,,,jQuery,"jQuery UI",React,Zepto.js,,CoffeeScript,Jade,LESS,PostCSS,,Stylus,,,Grunt,Gulp,,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,,,,MongoDB,Redis,,"Amazon Web Services",,,"Una nube privada (implementación a medida)",,"En la universidad o instituto","Cursos de educación continua (fuera de los planes de estudio superiores)",,"Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Android,,"Webapps móviles (web móvil o app para Android/iOS)",,Cordova,,"2016-04-22 16:03:35","2016-04-22 16:09:42",7721505a15
03ad6d2abdab359bee989ff5721a743c,Lima,"Más de seis años","Graduado de instituto","31 - 40 años",Masculino,"Trabajo como dependiente e independiente",Si,Si,1,"De 2501 a 3500","Ha aumentado",Windows,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance",,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"No conozco","No conozco","No conozco","Menos de 1 año","4 a 6 años","No conozco","No conozco",,"CodeIgniter (PHP)","Laravel (PHP)",,"Zend Framework (PHP)",,,,,,,,AngularJS,backbone.js,,,,jQuery,"jQuery UI",,,,,,LESS,,SASS,Stylus,,,,Gulp,git,,"MySQL (y derivados)",,,,,,,,,,,,,,,"Cursos de educación continua (fuera de los planes de estudio superiores)","Libros, revistas y otras publicaciones impresas","Documentación en la web",,,"Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo",,,,,,,,,"2016-04-22 16:24:18","2016-04-22 16:33:15",de9d2b6e6b
79ce41a550c5daa5fa9450219e823905,Lima,"Cuatro a seis años","Graduado de instituto","31 - 40 años",Masculino,"Trabajo como independiente",No,Si,1,"De 3501 a 4500","Es igual",Windows,,,,,"Depurador de JavaScript / Debugger",,,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","No conozco","Menos de 1 año","Menos de 1 año","1 a 3 años","No conozco","No conozco","Play Framework (Java)",,,,,,,,,,,,,,,,,,"jQuery UI",,,,,,,,,Stylus,,,Grunt,,,,"MySQL (y derivados)",,,,CouchDB,"Apache Cassandra",,,,,"Google Cloud Platform",,,,,"Cursos de educación continua (fuera de los planes de estudio superiores)",,,,,,,,,,,"Webapps móviles (web móvil o app para Android/iOS)",,"Ionic Framework",,"2016-04-22 17:32:35","2016-04-22 17:38:19",4f0d8a8e94
83958780b764ddcb1fd557633369a089,Lima,"Más de seis años","Graduado de instituto","31 - 40 años",Masculino,"Trabajo como independiente",No,Si,1,"De 5501 a más","Ha aumentado",Windows,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance","Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Más de 6 años","No conozco","Menos de 1 año","1 a 3 años","Más de 6 años","No conozco","No conozco",,"CodeIgniter (PHP)","Laravel (PHP)",,,,,,,,,,AngularJS,,,,,jQuery,"jQuery UI",,,,,,LESS,,,,,,,,Ninguno,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,,,,MongoDB,,,"Amazon Web Services",,,"Una nube privada (implementación a medida)",,,,,"Documentación en la web",,,,,,,,,"Webapps móviles (web móvil o app para Android/iOS)",,"Ionic Framework",,"2016-04-22 18:06:10","2016-04-22 18:12:22",e1504cbe11
4a8a3b66bb404cabe6d33803a1670359,Lima,"Más de seis años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como independiente",No,No,1,"De 5501 a más","Ha aumentado",Mac,,"Inspector / Elements / DOM Explorer",Consola,,,,,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"1 a 3 años","No conozco","1 a 3 años","1 a 3 años","1 a 3 años","Menos de 1 año","4 a 6 años",,,,,,,,,,"Cuba (Ruby)","Ruby on Rails","Sinatra (Ruby)",,backbone.js,,,,jQuery,"jQuery UI",React,,,CoffeeScript,,,PostCSS,SASS,,,,Grunt,Gulp,,"Microsoft SQL Server","MySQL (y derivados)",,,,,,MongoDB,Redis,,"Amazon Web Services",,,,,,,"Libros, revistas y otras publicaciones impresas","Documentación en la web",,,,,,,Android,,"Webapps móviles (web móvil o app para Android/iOS)",,Cordova,,"2016-04-22 18:01:53","2016-04-22 18:22:14",b537d16cd1
1c703b63627e1b4a3eaca7b168ff9a51,Lima,"Cuatro a seis años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",Si,Si,0,"De 4501 a 5500","Ha aumentado",Linux,,,Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance",,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","Menos de 1 año","1 a 3 años","1 a 3 años","4 a 6 años","Más de 6 años","4 a 6 años",,,"Laravel (PHP)","Symfony2 (PHP)","Zend Framework (PHP)","Bottle (Python)","Django (Python)","Flask (Python)","webpy (Python)",,"Ruby on Rails",,AngularJS,backbone.js,,,ember.js,jQuery,"jQuery UI",React,,,,,LESS,,SASS,Stylus,,,,Gulp,,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,,,,MongoDB,Redis,,"Amazon Web Services","Google Cloud Platform","Microsoft Azure","Una nube privada (implementación a medida)",,,,,"Documentación en la web",,,"Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo","Comunidades locales de desarrolladores",,Android,,,,Phonegap,,"2016-04-22 18:31:06","2016-04-22 18:34:01",253bfb9f67
81f9d20080714ff761aa28e57d24b4ec,Lima,"Más de seis años","Graduado de instituto","31 - 40 años",Masculino,"Trabajo como independiente",No,Si,1,"De 5501 a más","Ha aumentado",Mac,,"Inspector / Elements / DOM Explorer",Consola,,"Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance",,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"1 a 3 años","No conozco","1 a 3 años","Menos de 1 año","Más de 6 años","1 a 3 años","Menos de 1 año",,,"Laravel (PHP)",,,,"Django (Python)",,,,,,AngularJS,,,,,jQuery,"jQuery UI",,,,,Jade,LESS,,SASS,Stylus,,,,Gulp,,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,,,,,Redis,,,,,"Una nube privada (implementación a medida)",,,,,"Documentación en la web",,,,"En grupos de amigos o compañeros de trabajo",,,Android,iOS,"Webapps móviles (web móvil o app para Android/iOS)",,Cordova,,"2016-04-22 18:44:40","2016-04-22 18:51:48",056f05d967
681515e31aab9cab891acf9a63624590,Lima,"Uno a tres años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como independiente",,Si,1,"De 4501 a 5500","Ha aumentado",Mac,,"Inspector / Elements / DOM Explorer",Consola,,"Depurador de JavaScript / Debugger",,,,,"No conozco","No conozco","Menos de 1 año","Menos de 1 año","Menos de 1 año","1 a 3 años","Menos de 1 año","Play Framework (Java)",,,,,,"Django (Python)","Flask (Python)",,,,,AngularJS,backbone.js,D3.js,,,jQuery,"jQuery UI",React,,,,Jade,LESS,,SASS,,,,Grunt,Gulp,,,"MySQL (y derivados)",,PostgreSQL,,,,MongoDB,Redis,,"Amazon Web Services",,,"Una nube privada (implementación a medida)",,,,"Libros, revistas y otras publicaciones impresas","Documentación en la web","Seminarios web",,,"En grupos de amigos o compañeros de trabajo","Comunidades locales de desarrolladores",,Android,,,,"React Native",,"2016-04-22 18:47:05","2016-04-22 18:53:14",02eb1b4c8b
5f46a1c5f2404c59db9c104a75583c58,Lima,"Más de seis años","Graduado de universidad","31 - 40 años",Masculino,"Trabajo como independiente",No,Si,0,"De 2501 a 3500","Es igual",Windows,,,Consola,"Editor de estilos / Sources / Resources",,,,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode","Inspector de memoria / Profiles / Memory","Menos de 1 año","Menos de 1 año","Más de 6 años","Menos de 1 año","Más de 6 años","Menos de 1 año","No conozco",,"CodeIgniter (PHP)","Laravel (PHP)",,,,"Django (Python)",,,,,,AngularJS,,,,,jQuery,"jQuery UI",,,,CoffeeScript,,,,SASS,Stylus,,Broccoli,,,,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,,,,MongoDB,,,,,"Microsoft Azure","Una nube privada (implementación a medida)",,"En la universidad o instituto","Cursos de educación continua (fuera de los planes de estudio superiores)",,"Documentación en la web",,,,,,,Android,,"Webapps móviles (web móvil o app para Android/iOS)",,"Ionic Framework",,"2016-04-22 18:48:03","2016-04-22 18:55:01",0bc14e5d04
5b0e32143f9acdb178709e46db594f4a,Lima,"Cuatro a seis años","Graduado de universidad","24 - 30 años",Femenino,"Trabajo como dependiente e independiente",Si,Si,1,"De 2501 a 3500","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,,,"Rendimiento / Timeline / Performance",,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"No conozco","No conozco","4 a 6 años","1 a 3 años","4 a 6 años","1 a 3 años","1 a 3 años",,"CodeIgniter (PHP)","Laravel (PHP)","Symfony2 (PHP)","Zend Framework (PHP)",,"Django (Python)",,,,"Ruby on Rails",,AngularJS,backbone.js,,,ember.js,jQuery,"jQuery UI",,,,CoffeeScript,Jade,LESS,PostCSS,SASS,Stylus,,,,Gulp,,,"MySQL (y derivados)",,PostgreSQL,,,,MongoDB,,,"Amazon Web Services",,,,,,,,"Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo",,,Android,,,,Phonegap,,"2016-04-22 18:55:41","2016-04-22 19:00:15",ecd484c6be
f63ecd400dbd4fa34936aec5331a9129,Lima,"Uno a tres años","Estudiante en instituto","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",Si,Si,1,"De 1501 a 2500","Es igual",Windows,,"Inspector / Elements / DOM Explorer",,,,,,,,"No conozco","No conozco","Menos de 1 año","No conozco","1 a 3 años","No conozco","No conozco",,,,"Symfony2 (PHP)",,,,,,,,,,,,,,jQuery,,,,,,,,,SASS,,,,,Gulp,,,"MySQL (y derivados)",,,,,,,,"No he trabajado con alguna","Amazon Web Services",,,,,"En la universidad o instituto","Cursos de educación continua (fuera de los planes de estudio superiores)",,"Documentación en la web",,,,,,,,,,"Aplicacion Responsive aun no he desarrollado app",,"Como aun no he desarrollado app no uso alguno","2016-04-22 18:56:38","2016-04-22 19:01:40",bb20fb09bf
