¿En qué región vives actualmente?,¿Qué edad tienes?,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual como desarrollador web? ,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",Tu función principal en el desarrollo web es:,¿Qué sistema operativo usas principalmente como entorno de desarrollo?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Qué editor utilizas regularmente?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Cuantos años de experiencia tienes con...? [Rust],¿Cuantos años de experiencia tienes con...? [Lisp],¿Cuantos años de experiencia tienes con...? [Scala],¿Cuantos años de experiencia tienes con...? [Swift],¿Cuantos años de experiencia tienes con...? [Kotlin],¿Cuantos años de experiencia tienes con...? [JavaScript],¿Cuantos años de experiencia tienes con...? [TypeScript],¿Cuantos años de experiencia tienes con...? [Flow],¿Qué frameworks backend cononces?,¿Qué frameworks backend utilizas?,¿Qué frameworks de JavaScript conoces?,¿Qué frameworks de JavaScript utilizas?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?,¿Sueles utilizar test en tus proyectos?,¿Contribuyes con algún proyecto open source o software libre?,¿Haz asistido a algún evento o meetup local?,Indica el nombre de la comunidad o del meetup al que asististe,En los últimos 12 meses ¿Has asistido ha alguna conferencia internacional fuera del Perú?
Lima,24 - 30 años,Hombre,Estudiante de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,No,De 5501 a más,Es igual,Backend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory","Visual Studio Code, Notepad++, Eclipse",De 1 a 3 años,No conozco,De 4 a 6 años,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,"Ruby on Rails, Spring Boot (Java)","Ruby on Rails, Spring Boot (Java)","jQuery, jQuery UI, AngularJS, Backbone.js, Ember.js, Vue.js","jQuery, AngularJS, React, Ember.js","SASS, LESS","Gulp, WebPack","MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database","MongoDB, Apache Cassandra, CouchDB","Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform, Microsoft Azure, IBM Cloud, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En la universidad o instituto, Comunidades locales de desarrollo","Android, Webapps móviles (híbridas para cualquier plataforma), iOS","Ionic Framework, Apache Cordova, Phonegap, React Native, Flutter",A veces,He hecho alguna contribución alguna vez,"Sí, de vez en cuando",Wit,Sí
Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 3501 a 4500 soles,Ha aumentado,Frontend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Inspector de almacenamiento / Resources / Storage",WebStorm,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,Django (Python),Django (Python),"jQuery, jQuery UI, Backbone.js, React, Vue.js","jQuery, jQuery UI, Backbone.js, React, Vue.js",SASS,"Gulp, WebPack","MySQL, PostgreSQL",,Amazon Web Services,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago",Webapps móviles (híbridas para cualquier plataforma),React Native,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
La Libertad,24 - 30 años,Mujer,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,Menos de 1500 soles,Es igual,Fullstack,Microsoft Windows,Inspector / Elements / DOM Explorer,Visual Studio Code,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,"Laravel (PHP), CodeIgniter (PHP)",Laravel (PHP),"jQuery, AngularJS","jQuery, jQuery UI",,,"MySQL, Microsoft SQL Server",,Una nube privada (implementación a medida),Documentación en la web,Android,,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Mujer,Estudiante de universidad,Menos de 1 año,Trabajo como dependiente,,,Sí,,No,Menos de 1500 soles,Es igual,Frontend,Microsoft Windows,"Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources",Visual Studio Code,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,Express (Node.js),Express (Node.js),"AngularJS, React",React,"SASS, Pug",WebPack,"MySQL, Microsoft SQL Server",,"Amazon Web Services, Google Cloud Platform, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, Comunidades locales de desarrollo, Cursos de educación continua (fuera de planes de estudio superior), Seminarios Web / Webinars",,,A veces,"No, pero me gustaria hacerlo","Sí, al menos una vez al mes",Lima JS,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,No,,Sí,De 2501 a 3500 soles,Ha aumentado,Backend,GNU/Linux,Consola,Visual Studio Code,Menos de 1 año,No conozco,De 4 a 6 años,No conozco,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,No conozco,No conozco,"Laravel (PHP), Django (Python), Ruby on Rails, Express (Node.js)",Ruby on Rails,"jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, Vue.js","SASS, Stylus, Pug, CoffeeScript",WebPack,"MySQL, PostgreSQL","MongoDB, Elastic Search","Una nube privada (implementación a medida), IBM Cloud, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Libros, revistas y otras publicaciones impresas, En la universidad o instituto",Android,Unity,Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Ruby Peru,No
Lima,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha aumentado,Frontend,Mac,"Inspector / Elements / DOM Explorer, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Inspector de almacenamiento / Resources / Storage",Visual Studio Code,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,"Ruby on Rails, Express (Node.js)",Express (Node.js),"React, Next JS","React, Next JS",,WebPack,PostgreSQL,MongoDB,Heroku,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Lima JS y Tech Talks,No
Lima,31 - 40 años,Hombre,Graduado de instituto,De 6 a 10 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Editor de estilos / Sources / Resources, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory","Sublime, IntelliJ",No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Más de 6 años,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,De 4 a 6 años,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Symfony (PHP), Spring Boot (Java), Express (Node.js)","Laravel (PHP), CodeIgniter (PHP), Zend Framework, Express (Node.js)","jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, jQuery UI, React, Vue.js","SASS, LESS, Stylus, Pug, CoffeeScript, PostCSS","Grunt, Gulp, WebPack","MySQL, Microsoft SQL Server, Oracle Database",MongoDB,"Amazon Web Services, Google Cloud Platform, Heroku, Dokku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Comunidades locales de desarrollo","Android, Webapps móviles (híbridas para cualquier plataforma), iOS","Ionic Framework, Phonegap, Unity",A veces,"No, pero me gustaria hacerlo","No, y no estoy interesado en asistir",,No
Lima,24 - 30 años,Hombre,Estudiantes de instituto,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,No,De 2501 a 3500 soles,Es igual,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance",Visual Studio Code,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,,,"jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, jQuery UI","SASS, Pug",Gulp,,,,"Documentación en la web, Cursos en línea de plataformas de pago, Cursos de educación continua (fuera de planes de estudio superior)",,,Sí,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,Sí,De 1501 a 2500 soles,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Editor de sombreadores","Visual Studio Code, Sublime",No conozco,No conozco,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,"Laravel (PHP), Express (Node.js)","Laravel (PHP), Express (Node.js)","jQuery, jQuery UI, AngularJS, Backbone.js, React, Vue.js","jQuery, jQuery UI, AngularJS, React, Vue.js","SASS, LESS",WebPack,MySQL,MongoDB,"Una nube privada (implementación a medida), Google Cloud Platform, Zeit","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, En la universidad o instituto","Android, Webapps móviles (híbridas para cualquier plataforma)",Ionic Framework,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Piura,31 - 40 años,Hombre,Graduado de instituto,Mayor a 10 años,Trabajo como dependiente,,,No,,Sí,De 5501 a más,Es igual,Backend,Mac,"Inspector / Elements / DOM Explorer, Consola","Visual Studio Code, Vim",No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,No conozco,Más de 6 años,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,Menos de 1 año,Menos de 1 año,"Laravel (PHP), CodeIgniter (PHP), Ruby on Rails, Sinatra (Ruby), Cuba (Ruby), Slim PHP",Ruby on Rails,"jQuery, AngularJS, React, Vue.js","jQuery, Vue.js","SASS, Pug, CoffeeScript",WebPack,"MySQL, PostgreSQL","MongoDB, Redis, ElasticSearch","Una nube privada (implementación a medida), IBM Cloud","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas","Webapps móviles (híbridas para cualquier plataforma), iOS","Ionic Framework, Quasar Framework (Vue)",Sí,He hecho alguna contribución alguna vez,"Sí, al menos una vez al mes",GDG Piura,No
Lima,31 - 40 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 1501 a 2500 soles,Ha disminuido,Frontend,GNU/Linux,Consola,Visual Studio Code,Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,Laravel (PHP),Laravel (PHP),"React, Vue.js",Vue.js,SASS,WebPack,"MySQL, Microsoft SQL Server",,Amazon Web Services,"Documentación en la web, Cursos en línea de plataformas de pago, Comunidades locales de desarrollo, Seminarios Web / Webinars",,,Sí,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Piura,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como independiente,,,,Sí,Sí,De 1501 a 2500 soles,Ha aumentado,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage","Visual Studio Code, Sublime, Notepad++",No conozco,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Spring Boot (Java), Flask (Python), Webpy (Python), Express (Node.js)",Django (Python),"jQuery, jQuery UI, AngularJS, Backbone.js, React, Ember.js, Vue.js","jQuery, jQuery UI, React","SASS, Pug",WebPack,"MySQL, Microsoft SQL Server, PostgreSQL",MongoDB,"Una nube privada (implementación a medida), Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas, Comunidades locales de desarrollo, Seminarios Web / Webinars",Webapps móviles (híbridas para cualquier plataforma),"Apache Cordova, Phonegap, Progressive Web Apps, Unity",A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",GDG Piura,No
Lima,24 - 30 años,Hombre,Graduado de instituto,De 6 a 10 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Rendimiento / Timeline / Performance","Sublime, PhpStorm",De 1 a 3 años,No conozco,Menos de 1 año,De 1 a 3 años,Más de 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,Más de 6 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP)","Laravel (PHP), CodeIgniter (PHP)","jQuery, jQuery UI, AngularJS, Vue.js","jQuery, jQuery UI, AngularJS, Vue.js","SASS, LESS","Grunt, Gulp","MySQL, Microsoft SQL Server",Redis,"Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform",Documentación en la web,,,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Graduado de instituto,De 1 a 3 años,No trabajo actualmente,,,,,,,Es igual,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Rendimiento / Timeline / Performance",Visual Studio Code,De 1 a 3 años,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,"Spring Boot (Java), Express (Node.js), Hapi (Node.js)",Express (Node.js),"jQuery, AngularJS, React, D3.js",React,SASS,WebPack,"MySQL, Microsoft SQL Server","MongoDB, Redis","Amazon Web Services, Heroku","Documentación en la web, Cursos en línea de plataformas de pago",Webapps móviles (híbridas para cualquier plataforma),React Native,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Estudiante de universidad,De 6 a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Es igual,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Accesibilidad","IntelliJ, PhpStorm, WebStorm",Menos de 1 año,De 1 a 3 años,Menos de 1 año,De 4 a 6 años,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,De 1 a 3 años,Menos de 1 año,"Express (Node.js), Hapi (Node.js)","Express (Node.js), Hapi (Node.js)","jQuery, AngularJS, React, Vue.js, React","React, Vue.js","SASS, LESS",WebPack,"MySQL, Microsoft SQL Server","MongoDB, Redis","Amazon Web Services, Heroku, Zeit","Documentación en la web, Cursos en línea de plataformas de pago",Android,,Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Able,No
Lima,17 - 23 años,Hombre,Estudiantes de instituto,De 1 a 3 años,No trabajo actualmente,,,,,,,Ha aumentado,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Accesibilidad","Visual Studio Code, Sublime",No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,"Django (Python), Flask (Python)","Django (Python), Flask (Python)","jQuery, jQuery UI, React","jQuery, React",SASS,,"MySQL, Microsoft SQL Server",,"Amazon Web Services, Una nube privada (implementación a medida), Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, En la universidad o instituto, Comunidades locales de desarrollo, Cursos de educación continua (fuera de planes de estudio superior), Seminarios Web / Webinars",,,A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,Sí,De 1501 a 2500 soles,Es igual,Backend,GNU/Linux,"Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode",Visual Studio Code,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,"Express (Node.js), Nest.js","Express (Node.js), Nest.js","jQuery, AngularJS, React, Vue.js","jQuery, AngularJS, React, Vue.js","SASS, Pug","Gulp, WebPack","MySQL, PostgreSQL","MongoDB, Redis","Una nube privada (implementación a medida), IBM Cloud, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, youtube",Webapps móviles (híbridas para cualquier plataforma),Ionic Framework,A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Lima JS,No
Lima,31 - 40 años,Hombre,Graduado de instituto,Menos de 1 año,Trabajo como dependiente e independiente,Sí,No,,,Sí,De 1501 a 2500 soles,Es igual,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola",Sublime,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Express (Node.js),Express (Node.js),"jQuery, AngularJS","jQuery, AngularJS",SASS,WebPack,"MySQL, Microsoft SQL Server",,,"Documentación en la web, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, En la universidad o instituto, Cursos de educación continua (fuera de planes de estudio superior), Seminarios Web / Webinars",,,A veces,"No, pero me gustaria hacerlo","Sí, al menos una vez al mes",Hash code,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 5501 a más,Ha aumentado,Frontend,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage","Atom, Vim",No conozco,No conozco,De 1 a 3 años,De 4 a 6 años,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,De 4 a 6 años,No conozco,"Spring Boot (Java), Express (Node.js)",no hago backend ahora,"AngularJS, React, Angular","React, React",SASS,"Grunt, Gulp, WebPack",MySQL,MongoDB,,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas",Webapps móviles (híbridas para cualquier plataforma),Ionic Framework,Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",lima frontend,No
Lima,31 - 40 años,Hombre,Estudiantes de instituto,De 4 a 6 años,No trabajo actualmente,,,,,,,Es igual,Frontend,Microsoft Windows,Borrador,Visual Studio Code,De 4 a 6 años,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Laravel (PHP),Laravel (PHP),"jQuery, jQuery UI","jQuery, jQuery UI",SASS,,MySQL,"MongoDB, Redis, Apache Cassandra, CouchDB",Una nube privada (implementación a medida),"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Seminarios Web / Webinars",,,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Estudiantes de instituto,De 6 a 10 años,Trabajo como independiente,,,,Sí,Sí,De 2501 a 3500 soles,Ha disminuido,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","Visual Studio Code, Sublime",No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,Laravel (PHP),Laravel (PHP),"jQuery, AngularJS, Vue.js",jQuery,SASS,WebPack,MySQL,MongoDB,Amazon Web Services,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Comunidades locales de desarrollo, Seminarios Web / Webinars",,,A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Laravel Peru,No
Lima,31 - 40 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 2501 a 3500 soles,Es igual,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory",Visual Studio Code,No conozco,Menos de 1 año,De 1 a 3 años,Más de 6 años,Más de 6 años,Más de 6 años,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,Más de 6 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Symfony (PHP), Flask (Python), Webpy (Python), Express (Node.js), Hapi (Node.js), KumbiaPHP","Express (Node.js), Hapi (Node.js)","jQuery, jQuery UI, AngularJS, React, Ember.js, D3.js, Zepto.js, Vue.js",Vue.js,SASS,"Grunt, Gulp, WebPack","MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database","MongoDB, Redis, CouchDB, Firebase","Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, En la universidad o instituto, Comunidades locales de desarrollo, Cursos de educación continua (fuera de planes de estudio superior), Seminarios Web / Webinars","Android, Webapps móviles (híbridas para cualquier plataforma), iOS","Ionic Framework, Apache Cordova, Phonegap, NativeScript, Progressive Web Apps, Quasar Framework (Vue), Flutter",Sí,"Sí, regularmente (al menos una vez al mes)","Sí, de vez en cuando","Lima Frontend, Talks Tech, Datascience Research Perú",No
Lima,31 - 40 años,Mujer,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente,,,No,,Sí,De 5501 a más,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory",Visual Studio Code,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,De 4 a 6 años,Menos de 1 año,De 1 a 3 años,Más de 6 años,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,Más de 6 años,No conozco,No conozco,"Laravel (PHP), Ruby on Rails, Sinatra (Ruby), Cuba (Ruby), Express (Node.js)","Ruby on Rails, Sinatra (Ruby), Cuba (Ruby), Express (Node.js)","jQuery, jQuery UI, Backbone.js, React",React,"SASS, LESS, Stylus, CoffeeScript, PostCSS","Grunt, Gulp, WebPack","MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database","MongoDB, Redis, CouchDB","Amazon Web Services, Google Cloud Platform, Microsoft Azure, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas",iOS,"Apache Cordova, Phonegap, React Native",A veces,"Sí, de vez en cuando (varias veces al año)","Sí, de vez en cuando","Ruby Perú, Rails Girls",No
